conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/479ede81-bd51-4f3b-9d30-4910699fd211,journalismin lehtori,released,journalismin professori | journalistiikan opettaja | journalismin opettaja | mediatutkimuksen opettaja | mediatutkimuksen lehtori | journalistiikan professori | journalistiikan lehtori,"Journalismin lehtorit ovat yleensä professoreita, opettajia tai lehtoreita, jotka ovat suorittaneet ylemmän toisen asteen tutkinnon omalla erikoisalallaan eli journalismin ja median alalla, ja he antavat opetusta, joka on pääasiassa akateemista. He työskentelevät yliopistojen tutkimusavustajina ja korkeakoulujen opetusavustajina luentojen ja tenttien valmistelussa, kokeissa ja kokeissa sekä opiskelijoiden johtamisessa läpikäymiseen ja palautejaksojen järjestämiseen. He tekevät myös akateemista tutkimusta omalla erikoisalallaan (journalismi ja media), julkaisevat havaintojaan ja tekevät yhteistyötä muiden yliopistokollegojen kanssa.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/49023c69-302f-4671-b26f-7229d1a53915,viestinnän lehtori,released,viestinnän professori | viestinnän opettaja,"Viestinnän lehtorit ovat yleensä professoreita, opettajia tai lehtoreita, jotka ovat suorittaneet ylemmän toisen asteen tutkinnon omalla erikoisalallaan eli viestinnässä, ja he antavat opetusta, joka on pääasiassa akateemista. He tekevät yhteistyötä tutkimusavustajien ja yliopiston opetusassistenttien kanssa luentojen ja tenttien valmistelemisessa, seminaaritöiden ja tenttien arvioinnissa sekä opiskelijoiden arviointi- ja palautetilaisuuksien järjestämisessä. He tekevät myös akateemista tutkimusta omalla viestinnän erikoisalallaan, julkaisevat havaintojaan ja tekevät yhteistyötä muiden yliopistokollegojen kanssa.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/4b759f0e-8fec-4cf5-80d4-d112a9fd4e51,merentutkija,released,merigeologi | mertentutkija | meribiologi | valtameritutkija,"Merentutkijat tarkkailevat ja tutkivat meriin ja valtameriin liittyviä asioita. Merentutkijoiden asiantuntemus jaetaan eri tutkimushaaroihin, jotka ovat fysikaalinen merentutkimus (aallot ja vuorovesi), kemiallinen merentutkimus (merivesien kemiallinen koostumus) ja geologinen merentutkimus (merenpohjat ja niiden alla olevat laatat).
   ",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,geologi
Occupation,http://data.europa.eu/esco/occupation/4e8a5d3e-66de-4661-9927-ef3123cc79e9,arkkitehtuurin lehtori,released,arkkitehtuurin opettaja | arkkitehtuurin professori,"Arkkitehtuurin lehtorit ovat yleensä professoreita, opettajia tai lehtoreita, jotka ovat suorittaneet ylemmän toisen asteen tutkinnon omalla erikoisalallaan eli arkkitehtuurissa, ja he antavat opetusta, joka on pääasiassa akateemista. He tekevät yhteistyötä tutkimusavustajien ja yliopiston opetusassistenttien kanssa luentojen ja tenttien valmistelemisessa, seminaaritöiden ja tenttien arvioinnissa sekä opiskelijoiden arviointi- ja palautetilaisuuksien järjestämisessä. He tekevät myös akateemista tutkimusta omalla arkkitehtuurin erikoisalallaan, julkaisevat havaintojaan ja tekevät yhteistyötä muiden yliopistokollegojen kanssa.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/4f4d33a1-0b41-4dd9-8a42-aeba5a3974ab,"insinööri, sensoritekniikka",released,,"Sensoritekniikkaan erikoistuneet insinöörit suunnittelevat ja kehittävät sensoreita, sensorijärjestelmiä ja tuotteita, jotka on varustettu sensoreilla. He suunnittelevat ja valvovat näiden tuotteiden valmistusta.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,elektroniikkainsinööri
Occupation,http://data.europa.eu/esco/occupation/4f89b0d2-b666-4890-af01-25d1d60da1f3,politiikan tutkija,released,"tutkija, politiikka | valtiotieteilijä","Politiikan tutkijat tutkivat poliittista käyttäytymistä, toimintaa ja järjestelmiä, mukaan lukien niihin sisältyvät elementit. Kenttätutkimukset ulottuvat eri poliittisten järjestelmien alkuperästä ja kehityksestä ajankohtaisiin kysymyksiin, kuten päätöksentekoprosesseihin, poliittiseen käyttäytymiseen, poliittisiin suuntauksiin, yhteiskuntaan ja valtasuhteisiin. He neuvovat hallituksia ja institutionaalisia organisaatioita hallintoasioissa.",http://data.europa.eu/esco/isco/C2633,"Historioitsijat, politiikan tutkijat ja filosofit"
Occupation,http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,psykologi,released,,"Psykologit tutkivat ihmisten käyttäytymistä ja henkisiä prosesseja. He tarjoavat palveluja asiakkaille, joilla on mielenterveysongelmia ja vaikeita elämäntilanteita, kuten surua, parisuhdeongelmia, perheväkivaltaa ja seksuaalista hyväksikäyttöä. He antavat myös neuvontaa mielenterveysongelmista, kuten syömishäiriöistä, traumaperäisistä stressihäiriöistä ja psykoosista, jotta asiakkaat voivat kuntoutua ja oppia terveellisiä käyttäytymismalleja.",http://data.europa.eu/esco/isco/C2634,Psykologit
Occupation,http://data.europa.eu/esco/occupation/55167849-82cf-484e-b818-fa702a4e69e9,hydrologi,released,hydrobiologi,"Hydrologit tutkivat ja opiskelevat maapallolla olevan veden laatua sekä veteen liittyviä nykyisiä haasteita ja sen jakelua. He tutkivat joista, virroista ja lähteistä saatavaa vettä, jotta voidaan selvittää, miten niitä voidaan käyttää asianmukaisesti ja kestävästi. Yhdessä moniammatillisen työryhmän kanssa he suunnittelevat ja kehittävät veden jakelua kaupungeille ja kaupunkialueille siten, että samalla voidaan varmistaa tehokkuus ja luonnonvarojen säilyttäminen.",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,geologi
Occupation,http://data.europa.eu/esco/occupation/557f9ccc-4e46-4bb2-8d20-272cd978b152,eläinlääketieteen tutkija,released,,"Eläinlääketieteen tutkijat kehittävät ja tutkivat eläinmalleja, vertailevat eläinten perusbiologiaa ja soveltavat tutkimustuloksia, jotta niitä voidaan käyttää eri lajien, myös ihmisten, hyväksi.",http://data.europa.eu/esco/isco/C2250,Eläinlääkärit
Occupation,http://data.europa.eu/esco/occupation/55a785db-0636-41b8-950f-0b65abe5e81b,farmasian lehtori,released,farmasian opettaja | farmasian professori,"Farmasian lehtorit ovat yleensä professoreita, opettajia tai lehtoreita, jotka ovat suorittaneet ylemmän toisen asteen tutkinnon omalla erikoisalallaan eli farmasiassa, ja he antavat opetusta, joka on pääasiassa akateemista. He tekevät yhteistyötä tutkimusavustajien ja yliopiston opetusassistenttien kanssa luentojen ja tenttien valmistelemisessa, laboratorioharjoitusten ohjaamisessa, seminaaritöiden ja tenttien arvioinnissa sekä opiskelijoiden arviointi- ja palautetilaisuuksien järjestämisessä. He tekevät myös akateemista tutkimusta omalla farmasian erikoisalallaan, julkaisevat havaintojaan ja tekevät yhteistyötä muiden yliopistokollegojen kanssa.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/574f3232-1d07-4034-8cac-c57ddbfff192,analyysikemisti,released,analyyttinen kemisti,"Analyysikemistit tutkivat ja kuvaavat aineiden kemiallista koostumusta. Lisäksi he tekevät päätelmiä tällaisten aineiden käyttäytymisestä erilaisissa olosuhteissa. Analyysikemisteillä on tärkeä tehtävä kemian sekä ympäristön, elintarvikkeiden, polttoaineen ja lääketieteen välisen suhteen tarkastelussa. He käyttävät erilaisia tekniikoita, kuten elektrokromatografiaa, kaasukromatografiaa, korkean suorituskyvyn nestekromatografiaa ja spektroskopiaa.
	",http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,kemisti
Occupation,http://data.europa.eu/esco/occupation/57a12047-4f1e-40ed-add5-9736923f231b,astronomi,released,tähtitieteilijä | astrofyysikko | kosmologi,"Astronomit tutkivat taivaankappaleiden muodostumista, rakenteita, ominaisuuksia ja kehitystä sekä tähtienvälistä ainetta. He keräävät tutkimustarkoituksiin käytettävää tietoa avaruudesta maassa ja avaruudessa sijaitsevien laitteiden avulla.",http://data.europa.eu/esco/isco/C2111,Fyysikot ja astronomit
Occupation,http://data.europa.eu/esco/occupation/59a02420-91df-4e46-b37b-22e3fd8c11f0,fysiikan lehtori,released,fysiikan tohtori | fysiikan opettaja,"Fysiikan lehtorit ovat yleensä professoreita, opettajia tai lehtoreita, jotka ovat suorittaneet ylemmän toisen asteen tutkinnon omalla erikoisalallaan eli fysiikassa, ja he antavat opetusta, joka on pääasiassa akateemista. He tekevät yhteistyötä tutkimusavustajien ja yliopiston opetusassistenttien kanssa luentojen ja tenttien valmistelemisessa, laboratorioharjoitusten ohjaamisessa, seminaaritöiden ja tenttien arvioinnissa sekä opiskelijoiden arviointi- ja palautetilaisuuksien järjestämisessä. He tekevät myös akateemista tutkimusta omalla fysiikan erikoisalallaan, julkaisevat havaintojaan ja tekevät yhteistyötä muiden yliopistokollegojen kanssa.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/5a282a39-5346-454a-b1ef-c1217c50e156,koulutustutkija,released,"erityistutkija, koulutus","Koulutustutkijat tekevät tutkimusta koulutuksen alalla. He pyrkivät lisäämään tietämystä siitä, miten koulutusprosessit, koulutusjärjestelmät ja yksilöt (opettajat ja oppijat) toimivat. He määrittävät, missä olisi parannettavaa, ja laativat suunnitelmia innovaatioiden toteuttamiseksi. He neuvovat lainsäätäjiä ja poliittisia päättäjiä koulutuskysymyksissä ja avustavat koulutuspolitiikan suunnittelussa.",http://data.europa.eu/esco/isco/C2351,Opetusmenetelmien erityisasiantuntijat
Occupation,http://data.europa.eu/esco/occupation/5ac65daa-0896-4193-9f0e-8b00746b78a1,yliopiston tutkimusassistentti,released,"yliopiston tutkimusapulainen | tutkimusassistentti, yliopisto | tutkimusapulainen, yliopisto","Yliopiston tutkimusassistentit tekevät akateemista tutkimusta siinä yliopistossa tai korkeakoulussa, jossa he työskentelevät. He voivat avustaa professoreita, joiden alaisina he työskentelevät ja jotka ovat heidän ohjaajiaan, näiden tutkimuksessa tai tehdä omaa tutkimustaan samalla alalla kuin nämä professorit.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/5fdfa822-c1ba-477e-87cc-3d742e59310d,biologian lehtori,released,biologian professori | biologian opettaja,"Biologian lehtorit ovat yleensä professoreita, opettajia tai lehtoreita, jotka ovat suorittaneet ylemmän toisen asteen tutkinnon omalla erikoisalallaan eli biologiassa, ja he antavat opetusta. He tekevät yhteistyötä tutkimusavustajien ja yliopiston opetusassistenttien kanssa luentojen ja tenttien valmistelemisessa, laboratorioharjoitusten ohjaamisessa, seminaaritöiden ja tenttien arvioinnissa sekä opiskelijoiden arviointi- ja palautetilaisuuksien järjestämisessä. He tekevät myös akateemista tutkimusta omalla biologian erikoisalallaan, julkaisevat havaintojaan ja tekevät yhteistyötä muiden yliopistokollegojen kanssa.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/605e58d6-ad27-4828-b1f5-16707f327fa0,kasvatustieteen lehtori,released,kasvatustieteiden opettaja | kasvatustieteen professori | kasvatustieteiden lehtori | kasvatustieteen opettaja | kasvatustieteiden professori,"Kasvatustieteen lehtorit ovat professoreja, opettajia tai lehtoreita, jotka ovat suorittaneet ylemmän toisen asteen tutkinnon omalla erikoisalallaan eli kasvatustieteessä, joten he voivat itse työskennellä opettajina. He tekevät yhteistyötä tutkimusavustajien ja yliopiston opetusassistenttien kanssa luentojen ja tenttien valmistelemisessa, seminaaritöiden ja tenttien arvioinnissa sekä opiskelijoiden arviointi- ja palautetilaisuuksien järjestämisessä.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/6140be85-2d45-44b2-b0ba-412aadcead1e,geneetikko,released,geenitutkija | molekyyligeneetikko | perinnöllisyystieteilijä | perinnöllisyystutkija | sytogeneetikko,"Geneetikot opiskelevat ja tutkivat genetiikkaa. He analysoivat sitä, miten geenit ovat vuorovaikutuksessa keskenään ja miten ne toimivat. Lisäksi he selvittävät, miten piirteet ja ominaisuudet periytyvät. Tutkimuksensa perusteella he hoitavat potilaita, joilla on perinnöllisiä sairauksia ja häiriöitä, synnynnäisiä epämuodostumia ja muita geneettisiä ongelmia.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biologi
Occupation,http://data.europa.eu/esco/occupation/66527cdc-b7a5-4996-9448-7e327b68d08d,taideaineiden lehtori,released,taideaineiden opettaja | taideaineiden professori,"Taideaineiden lehtorit ovat professoreja, opettajia tai lehtoreita, jotka ovat suorittaneet ylemmän toisen asteen tutkinnon omalla erikoisalallaan eli taideaineissa, ja he antavat opetusta, joka on pääasiassa akateemista. He tekevät yhteistyötä tutkimusavustajien ja yliopiston opetusassistenttien kanssa luentojen ja tenttien valmistelemisessa, seminaaritöiden ja tenttien arvioinnissa sekä opiskelijoiden arviointi- ja palautetilaisuuksien järjestämisessä. He tekevät myös akateemista tutkimusta omalla taideaineiden erikoisalallaan, julkaisevat havaintojaan ja tekevät yhteistyötä muiden yliopistokollegojen kanssa.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut",released,,"Yliopistojen ja korkeakoulujen lehtorit opettavat opiskelijoita, ja he ovat suorittaneet ylemmän toisen asteen tutkinnon omalla erikoisalallaan, joka on pääasiassa akateeminen. Heidän ammattinimikkeitään voivat olla esimerkiksi vanhempi lehtori tai professori. He tekevät yhteistyötä opetus- ja tutkimusavustajien kanssa luentojen ja tenttien valmistelemisessa, seminaaritöiden ja tenttien arvioinnissa, laboratorioharjoitusten ohjaamisessa sekä opiskelijoiden arviointi- ja palautetilaisuuksien järjestämisessä. He tekevät myös akateemista tutkimusta omalla erikoisalallaan, julkaisevat havaintojaan ja tekevät yhteistyötä muiden yliopistokollegojen kanssa.",http://data.europa.eu/esco/isco/C2310,Yliopistojen ja ammattikorkeakoulujen opettajat
Occupation,http://data.europa.eu/esco/occupation/68d973df-bf10-4bf7-9a1b-fbd9f604b9db,bioinformaatikko,released,,"Bioinformaatikot analysoivat biologisia prosesseja tietokoneohjelmia käyttäen. He ylläpitävät tai rakentavat tietokantoja, jotka sisältävät biologista tietoa. Bioinformaatikot keräävät ja analysoivat biologista tietoa, ja he voivat myös avustaa eri alojen, kuten bioteknologian ja farmasian, tutkijoita. He tekevät tieteellistä tutkimuksia ja tilastoanalyysejä ja raportoivat havainnoistaan. Bioinformaatikot voivat myös kerätä DNA-näytteitä, havaita aineistosta esiin nousevia malleja ja tehdä geneettistä tutkimusta.",http://data.europa.eu/esco/isco/C2131,"Biologit, kasvi- ja eläintieteilijät ym. erityisasiantuntijat"
Occupation,http://data.europa.eu/esco/occupation/68f4fdd9-182c-4c0d-a73d-f767b8a8355e,"kalastusbiologi, vesiviljely",released,,"Vesiviljelyalan kalastusbiologit soveltavat tietoa, joka on saatu vesieläimiä ja -kasveja ja niiden vuorovaikutusta keskenään ja ympäristön kanssa koskevasta tutkimuksesta, jotta voidaan parantaa vesiviljelytuotantoa, ehkäistä eläinten terveyteen ja ympäristöön liittyviä ongelmia ja tarjota tarvittaessa ratkaisuja.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biologi
Occupation,http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442,viestinnän tutkija,released,"tutkija, viestintä","Viestinnän tutkijat tutkivat erilaisia näkökohtia, jotka liittyvät tiedon suunnitteluun, keräämiseen, luomiseen, järjestämiseen, säilyttämiseen, käyttöön, arvioimiseen ja välittämiseen sanallisella tai sanattomalla viestinnällä. He tutkivat ryhmien ja yksilöiden välistä vuorovaikutusta ja yksilöiden välistä vuorovaikutusta teknologian (robottien) kanssa.",http://data.europa.eu/esco/occupation/acf69cab-8629-45c8-ae10-c8fb15f474b6,antropologi
Occupation,http://data.europa.eu/esco/occupation/6d421d34-baa1-44f9-9ea0-231d76e325fd,uskontotieteilijä,released,teologi,"Uskontotieteilijät tutkivat uskontoihin, uskomuksiin ja hengellisyyteen liittyviä käsitteitä. He soveltavat rationaalisuutta moraalisuuden ja eettisyyden tavoitteluun tutkimalla pyhiä kirjoituksia, uskontoa, uskonnonharjoittamista ja jumalallista lakia.",http://data.europa.eu/esco/isco/C2636,Papit ym. uskonnollisen elämän erityisasiantuntijat
Occupation,http://data.europa.eu/esco/occupation/6df6c5cb-c1a2-42c8-acd0-1ee5563c36c1,biokemisti,released,bioteknikko,"Biokemistit opiskelevat ja tutkivat reaktioita, joita kemikaalit aiheuttavat elävissä organismeissa. Tähän kuuluu myös sellainen kemikaalipohjaisten tuotteiden (esim. lääkkeiden) kehittämiseen tai parantamiseen tähtäävä tutkimus, jonka tavoitteena on parantaa elävien organismien terveyttä ja ymmärtää niiden reaktioita paremmin.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biologi
Occupation,http://data.europa.eu/esco/occupation/6e92d4b5-3167-4166-802f-da7753951a31,ICT-tutkimuskonsultti,released,IT-tutkimuskonsultti | ICT-tutkimuskonsultit | IT-tutkimuskonsultit | IT-tutkimusasiantuntija | IT-tutkimuksen asiantuntija,"ICT-tutkimuskonsultit tekevät kohdennettua tieto- ja viestintäteknologian tutkimusta ja toimittavat asiakkaalle loppuraportin. He myös suunnittelevat kyselyitä tieto- ja viestintätekniikan välineillä, analysoivat tuloksia, laativat raportteja, esittelevät tuloksia ja antavat suosituksia tutkimustulosten perusteella.",http://data.europa.eu/esco/isco/C2511,Sovellusarkkitehdit
Occupation,http://data.europa.eu/esco/occupation/71f09c8b-a172-408c-b9e7-32e580e39ff6,yleislääkäri,released,,"Yleislääkärit edistävät terveyttä, ehkäisevät ja tunnistavat terveysongelmia, diagnosoivat ja hoitavat sairauksia sekä edistävät kaikenlaisten ihmisten toipumista fyysisistä ja henkisistä sairauksista ja terveysongelmista heidän iästään, sukupuolestaan tai terveysongelmistaan riippumatta.",http://data.europa.eu/esco/isco/C2211,Yleislääkärit
Occupation,http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2,matemaatikko,released,matematiikan tutkija,"Matemaatikot tutkivat ja kehittävät nykyisiä matemaattisia teorioita, jotta alan tietämystä voidaan laajentaa ja jotta voidaan löytää uusia paradigmoja. He voivat soveltaa tätä tietämystä teknisissä ja tieteellisten hankkeissa esitettyihin haasteisiin. Näin voidaan varmistaa, että mittaukset, määritykset ja matemaattiset lait osoitetaan oikeiksi.",http://data.europa.eu/esco/isco/C2120,"Matemaatikot, aktuaarit ja tilastotieteilijät"
Occupation,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,tutkimus- ja kehitysjohtaja,released,,"Tutkimus- ja kehitysjohtajat koordinoivat tutkijoiden, tuotekehittäjien ja markkinatutkijoiden toimia, joiden tavoitteena on luoda uusia tuotteita tai parantaa nykyisiä tuotteita, tai muita tutkimustoimia, tieteellinen tutkimus mukaan luettuna. He hallinnoivat ja suunnittelevat organisaation tutkimus- ja kehitystoimia, asettavat tavoitteita ja budjettivaatimuksia sekä hallinnoivat henkilöstöä.",http://data.europa.eu/esco/isco/C1223,Tutkimus- ja kehitysjohtajat
Occupation,http://data.europa.eu/esco/occupation/778c1d37-69f2-4184-ac98-03b7dbfba332,fotoniikan insinööri,released,,"Fotoniikkainsinöörit käsittelevät valon tuotantoa, siirtoa, muuntamista ja havaitsemista. He tutkivat, suunnitteleva, kokoavat, testaavat ja käyttävät fotoniikan komponentteja tai järjestelmiä monissa eri käyttökohteissa, joita voivat olla optinen tiedonsiirto tai lääketieteellinen laitteisto, materiaalinkäsittely tai anturiteknologia.",http://data.europa.eu/esco/occupation/ab3c4d3e-3189-47ad-82af-57cdae3cb589,optiikan insinööri
Occupation,http://data.europa.eu/esco/occupation/77abfaec-a250-4765-95fa-6091e8da1bba,"insinööri, sähkömekaaninen tekniikka",released,"insinööri, elektromekaniikka","Sähkömekaaniseen tekniikkaan erikoistuneet insinöörit suunnittelevat ja kehittävät laitteita ja koneita, joissa käytetään sekä sähköä että mekaanista tekniikkaa. He luonnostelevat ja laativat asiakirjoja, joissa esitetään yksityiskohtaiset materiaalivaatimukset kokoamisprosessi ja muut tekniset eritelmät. Sähkömekaaniseen tekniikkaan erikoistuneet insinöörit myös testaavat ja arvioivat prototyyppejä. Lisäksi he valvovat tuotantoprosessia.",http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22,sähköinsinööri
